No.,Year,Paper,Year_R,Paper_Ref
101,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2016,Combined Segmentation and Recognition of Online Handwritten Diagrams with High Order Markov Random Field
102,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Online flowchart understanding by combining max-margin Markov random field with grammatical analysis
103,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2015,Offline Sketch Parsing via Shapeness Estimation
104,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Detectron2
105,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Simple Baselines for Human Pose Estimation and Tracking
106,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Scene Graph Generation by Iterative Message Passing
107,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,LayoutLMv2: Multi-modal Pre-training for Visually-rich Document Understanding
108,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2021,Line Segment Detection Using Transformers without Edges
109,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2020,Pre-training of Text and Layout for Document Image Understanding
110,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Graph R-CNN for Scene Graph Generation
111,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,1997,A system for recognizing a large class of engineering drawings
112,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Online Handwritten Diagram Recognition with Graph Attention Networks
113,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2017,Towards a Software Prototype Supporting
114,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2018,Neural Motifs: Scene Graph Parsing With Global Context
115,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2022,Scaling Vision Transformers
116,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2020,Distribution-Aware Coordinate Representation for Human Pose Estimation
117,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Graphical Contrastive Losses for Scene Graph Parsing
118,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,Graphical Contrastive Losses for Scene Graph Parsing
119,2023,Recognizing Hand-drawn Diagrams in Images. Ph.D. Thesis. Universit�t Mannheim,2019,An anchor-free region proposal network for Faster R-CNN-based text detection approaches
120,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,An Electronic Component Recognition Algorithm Based on Deep Learning with a Faster SqueezeNet
121,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2008,The algorithmic of components auto-classification and system development of electronic components
122,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2009,Morphological feature selection and neural classification for electronic components
123,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2011,Fast Classification in Incrementally Growing Spaces (Pattern Recognition and Image Analysis)
124,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2017,Local binary pattern: An improved LBP to extract non uniform LBP patterns with Gabor filter to increase the rate of face similarity
125,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,Segmentation and Recognition of Electronic Components in Hand-Drawn Circuit Diagrams
126,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2022,Classification of Electronic Components Based on Convolutional Neural Network Architecture
127,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,An Electronic Component Recognition Algorithm Based on Deep Learning with a Faster SqueezeNet
128,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,A Rapid Recognition Method for Electronic Components Based on the Improved YOLO-V3 Network
129,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,A modified SSD Method for Electronic recognition using deep learning algorithm
130,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,Hand-drawn electronic component Components Fast Recognition
131,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Deep Learning: An Overview of Convolutional Neural Network
132,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,What�s a Deep Neural Network? Deep Nets Explained
133,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2021,Convolutional Neural Networks (CNNs) and layrestybes
134,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,"www.sensetime.com. ""SenseTime in English"""
135,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2017,Deep Learning made easy with Deep Cognition
136,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,Feature Engineering and Selection
137,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Data Augmentation � Is it really necessary
138,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,Automation and Robotics (ICCAR)
139,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,"www.kaggle.com. ""Fire and Smoke Dataset"""
140,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2001,GB/T 17564.4-2001. IEC Standard Data Element Types and Related Classification Models for Electrical Components-Part 4
141,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,1999,SJ/T 11144-1997. Electronic Product Classification and Code
142,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2010,Base and current situation of data standardization for electronic components & devices
143,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,Classification of Electronic Components Based on Convolutional Neural Network
144,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Multiple lyapunov functions analysis approach for discrete-time-switched piecewise-affine systems under dwell-time constraints
145,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Unknown system dynamics estimator for motion control of nonlinear robotic systems
146,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Observer-based control for cyberphysical systems with periodic DoS attacks via a cyclic switching strategy
147,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2015,Very Deep Convolutional Networks for Large-Scale Image Recognition
148,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,Multi-criteria active deep learning for image classification
149,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,Fine-tuning Convolutional Neural Networks for fine art classification
150,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2019,Deep convolutional extreme learning machines: Filters combination and error model validation
151,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2017,Automatic Image Recognition of Rapid Malaria Emergency Diagnosis: A Deep Neural Network Approach. Master�s Thesis. York University
152,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,1998,LeNet Architecture: A Complete Guide Proceedings of the IEEE
153,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,CNN AlexNet
154,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2018,CNN Architectures � LeNet. AlexNet. VGG. GoogLeNet and ResNet
155,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,How to Train a VGG-16 Image Classification Model on Your Own Dataset
156,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2020,Deep Learning Based Real-Time Body Condition Score Classification System
157,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,www.bing.com
158,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,2016,Deep Residual Learning for Image Recognition
159,2023,Electronic components recognition based on deep learning. Master's Thesis. Univesity Kasdi Merbbah Ouargla,1994,Learning long-term dependencies with gradient descent is difficult
